,Unnamed: 0,place_id,name,name2,neighbhood,neighbhood2,nameAr,lat,lng,types,rating,user_ratings_total,rated1,rated2,rated3,rated4,rated5,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,revenues,FemaleNonSaudi,MaleNonSaudi,FemaleSaudi,MaleSaudi,total_labor,Teens,20s,30s,40s,50s,60s,CompNum,isSuccessful
0,0,ChIJO4BL8MsFLz4RCqUrCLW-sMU,Pakistani Restaurant,Pakistani Restaurant,Al Futah,al futah,الفوطة,24.6415291,46.7182254,Restaurants,4,23,0,0,0,0,23,True,True,1,20,20,20,17,13,132209,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,28,1
1,1,ChIJKaxgO9oFLz4RtMaaknmISZ8,Mangalore Restaurant,Mangalore Restaurant,Al Futah,al futah,الفوطة,24.6442615,46.7181302,Restaurants,4,20,0,0,0,0,0,True,True,0,20,20,20,17,12,135463,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,26,1
2,2,ChIJ_d5QeFIFLz4RRBFh7LboDXM,Sagar Restaurant,SAGAR RESTAURANT,Al Futah,al futah,الفوطة,24.6397837,46.7162167,Restaurants,4,37,0,0,0,0,37,True,True,0,20,20,20,16,14,145027,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,27,1
3,3,ChIJQa6TpTwFLz4RAfvt1R-FFLw,Alimsha Family Restaurant,Alimsha Family Restaurant,Al Futah,al futah,الفوطة,24.6403579,46.7160828,Restaurants,4,24,0,0,0,4,19,True,True,1,20,20,20,17,14,138500,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,27,1
4,4,ChIJT07SO6wFLz4RJmjRZxVTt1I,Regency Restaurant,Regency Restaurant,Al Futah,al futah,الفوطة,24.6408343,46.7159761,Restaurants,4,186,31,0,31,62,62,False,True,0,20,20,20,15,14,138500,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,27,1
5,5,ChIJObXGe3sFLz4Ry0GVFPzO2q4,Kamayan Restaurant Batha Riyadh,Kamayan Restaurant Batha Riyadh,Al Futah,al futah,الفوطة,24.6445066,46.7179534,Restaurants,2,36,13,9,4,9,0,True,True,0,20,20,20,18,12,136851,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,26,1
6,6,ChIJaYWFbEoFLz4R_oLcXQWnh08,Sagarmatha Family Restaurant,Sagarmatha Family Restaurant,Al Futah,al futah,الفوطة,24.6429876,46.7163652,Restaurants,4,133,33,0,0,16,83,True,True,0,20,20,20,14,12,135729,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,28,1
7,7,ChIJZ6ZPYK4FLz4Ryxe0xo0VLUc,دلهي,دلهي,Al Futah,al futah,الفوطة,24.6389987,46.7164071,Restaurants,3,477,0,0,178,119,178,True,True,1,20,20,20,17,14,145324,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,26,1
8,8,ChIJG5IJFvYFLz4RcC4IE9IFpJs,Srilanka Restaurant Batha,SriLanka Restaurant Batha,Al Futah,al futah,الفوطة,24.6397561,46.7168017,Restaurants,4,46,0,0,0,15,30,True,True,0,20,20,20,16,14,142157,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,27,1
9,9,ChIJK_tkuq4FLz4R_KfSAmmJgoQ,مطعم نور الرياض البخاري,مطعم نور الرياض البخاري,Al Futah,al futah,الفوطة,24.6385463,46.7147543,Restaurants,3,224,74,0,112,37,0,True,True,0,20,20,20,17,14,148361,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526,26,1
