,Unnamed: 0.1,Unnamed: 0,neighbhood_id,lat,lng,types,delivery,dine_in,schoolNum,companieNum,officeNum,HotelNum,parksNum,total_labor,Teens,20s,30s,40s,50s,60s,FemalePop,MalePop,Succ,TotPop,neighbhood,CompNum
0,0,0,19,24.7653441,46.670992,0,0,1,20,20,20,20,7,28817,6058,10390,12516,7168,3620,1473,21418,27407,1,48825,al bariah,16
1,1,1,20,24.6069027,46.7065318,0,1,1,20,20,20,20,5,28817,6058,10390,12516,7168,3620,1473,21418,27407,1,48825,ar rayan,4
2,2,2,100,24.7755136,46.7087648,1,1,1,20,20,20,20,6,28817,6058,10390,12516,7168,3620,1473,21418,27407,1,48825,az zahra,25
3,3,3,55,24.6423147,46.5453981,1,1,1,20,20,20,20,6,16967,3567,6117,7369,4220,2131,867,12616,16130,1,28746,al uraija,8
4,4,4,99,24.7600868,46.60345909999999,1,1,1,20,20,20,20,5,16967,3567,6117,7369,4220,2131,867,12616,16130,1,28746,al dho,12
5,5,5,63,24.8044517,46.7517054,0,1,1,20,20,20,20,3,28817,6058,10390,12516,7168,3620,1473,21418,27407,1,48825,ash sharafiyah,11
6,6,6,52,24.792859,46.7009213,1,1,1,20,20,8,20,9,8485,1783,3059,3685,2110,1065,433,6336,8040,1,14376,al hamra,16
7,7,7,64,24.6663848,46.7242422,0,1,1,20,20,10,20,12,8485,1783,3059,3685,2110,1065,433,6336,8040,1,14376,an nahdah,11
8,8,8,24,24.629458,46.7362532,0,1,0,20,20,20,20,7,16967,3567,6117,7369,4220,2131,867,12616,16130,1,28746,al hada,3
9,9,9,78,24.801523,46.89265590000001,1,1,1,20,20,20,20,6,19270,4051,6948,8369,4793,2420,985,14512,18136,1,32648,ash shimaisi,4
10,10,10,111,24.7704009,46.6476711,0,1,1,20,20,20,20,5,19270,4051,6948,8369,4793,2420,985,14512,18136,1,32648,al faruq,11
11,11,11,53,24.7460119,46.7084723,0,1,1,20,20,20,20,6,19270,4051,6948,8369,4793,2420,985,14512,18136,1,32648,dhahrat laban,19
12,12,12,123,24.8040662,46.73778739999999,0,1,1,20,20,20,20,6,19270,4051,6948,8369,4793,2420,985,14512,18136,1,32648,al imam university,16
13,13,13,52,24.7359741,46.6310995,0,1,1,20,20,20,20,6,19270,4051,6948,8369,4793,2420,985,14512,18136,1,32648,al arid,9
