,place_id,name,types,price_level,rating,user_ratings_total,lat,lng,place,neighbhood,city,provinces,opeining_days,delivery,dine_in,schoolNum,companieNum,officeNum,HotelNum,parksNum,isLoved,rated1,rated2,rated3,rated4,rated5
0,ChIJO4BL8MsFLz4RCqUrCLW-sMU,Pakistani Restaurant,Restaurants,,4.0,23,24.6415291,46.71822539999999,Yahya Ibn Said,العمل,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,17.0,13.0,1,0,0,0,0,5
1,ChIJVXaNq2UFLz4R9WfUGy2WfLg,"Pinoy Restaurant - Batha, Riyadh, KSA",Restaurants,,4.6,21,24.6472685,46.716614,Abi Al Abbas Al Murshidi,العمل,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,20.0,10.0,0,1,0,1,1,3
2,ChIJKaxgO9oFLz4RtMaaknmISZ8,Mangalore Restaurant,Restaurants,,4.5,20,24.6442615,46.7181302,Abdul Samad at Tanukhi,العمل,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,17.0,12.0,0,0,0,0,0,0
3,ChIJ_d5QeFIFLz4RRBFh7LboDXM,"SAGAR RESTAURANT, Batha",Restaurants,,4.4,37,24.6397837,46.7162167,البطحاء,الفوطة,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,16.0,14.0,0,0,0,0,0,5
4,ChIJy0LHYakFLz4RjvaDxb2DOoY,Zaiqa Indian Restaurant,Restaurants,,4.0,114,24.638431,46.7223786,ثليم,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,20.0,17.0,13.0,0,0,0,0,4,2
5,ChIJQa6TpTwFLz4RAfvt1R-FFLw,Alimsha Family Restaurant( lucky restaurant),Restaurants,,4.2,24,24.6403579,46.7160828,الفوطة,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,20.0,17.0,14.0,1,0,0,0,1,4
6,ChIJM3VmWK0FLz4RGEVeT04153c,Al Mas Restaurant batha branch,Restaurants,1.0,4.1,259,24.6448748,46.718878,ابن طلحة,العمل,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,18.0,12.0,1,2,0,0,0,5
7,ChIJ16tcKrcFLz4R2sALpHVXbuU,MADEENA Restaurant,Restaurants,1.0,3.8,43,24.6402093,46.72383259999999,محمد الشبل,ثليم,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,19.0,12.0,0,1,1,1,1,1
8,ChIJT07SO6wFLz4RJmjRZxVTt1I,Regency Restaurant,Restaurants,2.0,4.1,186,24.6408343,46.7159761,هبة الله الخزرجي,الفوطة,الرياض,امارة منطقة الرياض,7.0,False,True,20.0,20.0,20.0,15.0,14.0,0,1,0,1,2,2
9,ChIJC1yD4lIELz4RfbOJURNimsM,Cusina Restaurant - Batha,Restaurants,2.0,4.2,324,24.6463114,46.7166197,عبدالحكيم الجمحي,العمل,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,20.0,10.0,1,1,0,2,0,5
10,ChIJaYFHW2oFLz4RIvxDcQDiR6o,Pasalubong Pinoy Restaurant - Villagio Mall,Restaurants,,4.2,22,24.6464488,46.7172521,العمل,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,20.0,20.0,10.0,0,0,0,2,2,2
11,ChIJsXncVAgFLz4RNSwTvzoBDu8,Indian Restaurant,Restaurants,,5.0,2,24.636445,46.7198663,شارع الرس,المرقب,الرياض,امارة منطقة الرياض,,True,True,20.0,20.0,20.0,16.0,14.0,0,0,0,0,0,0
12,ChIJwbjHreQFLz4Ru58ty4bT5s4,SULTAN Thai Filipino Restaurant,Restaurants,,4.3,37,24.6442414,46.7186664,العمل,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,20.0,17.0,12.0,1,1,0,3,2,1
13,ChIJObXGe3sFLz4Ry0GVFPzO2q4,Kamayan Restaurant Batha Riyadh,Restaurants,,2.3,36,24.6445066,46.71795340000001,العمل,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,20.0,18.0,12.0,0,3,2,1,2,0
14,ChIJ677BjDYFLz4Rwst8lvrsVfQ,Kamayan Restaurant Villagio Branch,Restaurants,,4.2,6,24.6463091,46.7171634,العمل,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,False,True,20.0,20.0,20.0,20.0,10.0,1,0,0,2,1,1
15,ChIJaYWFbEoFLz4R_oLcXQWnh08,Sagarmatha Family Restaurant,Restaurants,,4.4,133,24.6429876,46.7163652,الفوطة,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,20.0,14.0,12.0,0,2,0,0,1,5
16,ChIJaXt7DY0FLz4RzRupw3zjPDo,Greenchilly kerala indian restaurant (kerala india hotel ) nadan thattukkada,Restaurants,,5.0,3,24.6342434,46.7209681,الرياض,امارة منطقة الرياض,منطقة الرياض,السعودية,7.0,True,True,20.0,20.0,20.0,17.0,15.0,0,0,0,0,0,2
17,ChIJtarlzhIFLz4RQn_CT7mL15o,Madurai Metro Cafe,Restaurants,,3.9,17,24.6401055,46.7210312,7108,ثابت بن النعمان,ثليم,الرياض,7.0,True,True,20.0,20.0,20.0,18.0,14.0,0,0,0,1,2,2
18,ChIJn_j9-bEFLz4RvUmB_yoJTk4,مطعم براقون,Restaurants,2.0,3.9,3004,24.6407204,46.7194787,عمر المختار,العمل,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,18.0,14.0,0,1,0,2,0,3
19,ChIJZVf4uLoFLz4RgEtGKP0bzx4,U. P. Restaurant,Restaurants,,4.1,10,24.635355,46.7196533,طرابيل,المرقب,الرياض,امارة منطقة الرياض,,False,True,20.0,20.0,20.0,16.0,15.0,0,0,0,1,3,2
20,ChIJ93yvX94FLz4RBXQ-pt5Tqgw,Palaaram Restaurant,Restaurants,,2.8,54,24.6633938,46.7038397,المربع,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,19.0,17.0,20.0,9.0,1,1,1,3,1,1
21,ChIJT1Sp3IsFLz4RWdYxaKFyMAQ,Ponnusamy Restaurant - Indian Veg and Non Veg,Restaurants,,3.5,250,24.6637705,46.703514,المربع,امارة منطقة الرياض,منطقة الرياض,السعودية,7.0,True,True,20.0,19.0,17.0,20.0,8.0,0,3,2,1,1,2
22,ChIJX4EaUaEFLz4Rf3YLxl4DGcg,Tikka Masala Restaurant Riyadh,Restaurants,,3.9,297,24.669027,46.7088246,2946,Namly Alnadeem street,المربع,الرياض,7.0,True,True,20.0,17.0,16.0,20.0,11.0,0,3,0,1,2,2
23,ChIJpbQzk4YFLz4RnfLIL-PEJIQ,Mayer Dua Restaurant (মায়ের দোয়া রেষ্টুরেন্ট),Restaurants,,5.0,7,24.6702224,46.7092342,6599,شارع الأمير عبدالرحمن بن عبدالعزيز,الوزارات,الرياض,7.0,True,True,20.0,17.0,15.0,20.0,11.0,1,0,0,0,0,3
24,ChIJedTPklwFLz4RwospLLgeYZQ,Sonar Bangla Restaurant,Restaurants,,4.1,93,24.6709612,46.7104385,3103,القيرواني,الوزارات,الرياض,7.0,True,True,20.0,19.0,14.0,20.0,11.0,0,2,0,2,0,2
