,nameAr,neighbhood,nameEn,cityId,neCoordinates,swCoordinates
0,المنهل,Al Manhal,al manhal,15,"18.23004686,42.52403780","18.21814714,42.50670844"
1,النصب,An Nasb,an nasb,15,"18.22519281,42.51503934","18.21472354,42.50058994"
2,وسط المدينة,Down Town,down town,15,"18.22160324,42.50440063","18.21260073,42.49771760"
3,النزهة,An Nuzhah,an nuzhah,15,"18.21795259,42.51796121","18.20282188,42.50814647"
4,ذرة,Dhurah,dhurah,15,"18.21188547,42.51561144","18.20020698,42.50223394"
5,شمسان,Shamsan,shamsan,15,"18.23369174,42.51678644","18.22141632,42.50089132"
6,القرى,Al Qura,al qura,15,"18.25426556,42.50240189","18.23059626,42.47632972"
7,الوردتين,Al Wardatain,al wardatain,15,"18.23223460,42.50244385","18.22462445,42.48924558"
8,الربوة,Ar Rabwah,ar rabwah,15,"18.21889858,42.53696128","18.19055971,42.51801607"
9,النسيم,An Nasim,an nasim,15,"18.21328719,42.55222321","18.18859318,42.53323453"
10,الاندلس,Al Andalus,al andalus,15,"18.21984653,42.52349232","18.20403491,42.51526439"
11,ابهاء الجديدة,Abha Al Jadidah,abha al jadidah,15,"18.22786508,42.49171731","18.19844913,42.46760198"
12,الضباب,Ad Dabab,ad dabab,15,"18.20407583,42.52206092","18.18996366,42.50072248"
13,الوصايف,Al Wasaif,al wasaif,15,"18.24023777,42.49267103","18.22612172,42.47895024"
14,الشرفية,Ash Sharafiyah,ash sharafiyah,15,"18.25546378,42.53665120","18.22973213,42.49720276"
15,العزيزية,Al Aziziyah,al aziziyah,15,"18.21376418,42.50393142","18.20736133,42.49972401"
16,الشفاء,Ash Shifa,ash shifa,15,"18.21260073,42.50596451","18.19930484,42.49171731"
17,المفتاحة,Al Muftahah,al muftahah,15,"18.21491241,42.49972401","18.20693414,42.49039750"
18,السروات,As Sarawat,as sarawat,15,"18.20693414,42.50100091","18.18921495,42.47699550"
19,المروج,Al Muruj,al muruj,15,"18.23604134,42.57499211","18.20108798,42.52650197"
20,السد,As Sad,as sad,15,"18.22107497,42.49938834","18.21183784,42.48803633"
21,الخشع,Al Khasha,al khasha,15,"18.21655457,42.51094253","18.21042445,42.50131085"
22,القابل,Al Qabil,al qabil,15,"18.22738621,42.50091421","18.21994580,42.49550901"
23,الفيصلية,Al Faisaliyah,al faisaliyah,15,"18.22543889,42.49784728","18.21676441,42.48966899"
24,الخالدية,Al Khalidiyah,al khalidiyah,15,"18.23523113,42.49009621","18.21800040,42.46801781"
25,العرين,Al Arin,al arin,15,"18.24751582,42.56464345","18.21787053,42.51692376"
26,الواحة,Al Wahah,al wahah,62,"18.33987171,42.70444914","18.32353086,42.69314488"
27,السد,As Sad,as sad,62,"18.29952460,42.72643129","18.28589597,42.70775918"
28,الجزيرة,Al Jazirah,al jazirah,62,"18.31792436,42.73113704","18.31011550,42.71319470"
29,طيب الاسم,Tayib Al Ism,tayib al ism,62,"18.32607417,42.71145594","18.30560363,42.69645592"
30,الزهور,Az Zuhur,az zuhur,62,"18.30215695,42.74100924","18.28468589,42.73335842"
31,الروضة,Ar Rawdah,ar rawdah,62,"18.30123611,42.73089355","18.29266688,42.72737830"
32,المنتزه,Al Muntazah,al muntazah,62,"18.30641215,42.72705845","18.29952460,42.71547498"
33,الخالدية,Al Khalidiyah,al khalidiyah,65,"18.17614207,42.83898959","18.16256928,42.82650017"
34,ضمك,Damak,damak,62,"18.29297364,42.73317567","18.28165413,42.72315933"
35,الخزان,Al Khazan,al khazan,62,"18.30006296,42.72779494","18.29201373,42.71871622"
36,الخالدية,Al Khalidiyah,al khalidiyah,62,"18.30605430,42.73118007","18.29987093,42.72377483"
37,الزيتون,Az Zaytun,az zaytun,65,"18.18695201,42.86194707","18.17376584,42.85159234"
38,العزيزية,Al Aziziyah,al aziziyah,65,"18.18438471,42.82908453","18.15937790,42.80563840"
39,السلامة,As Salamah,as salamah,65,"18.20681091,42.84041054","18.17851727,42.81718400"
40,النهضة,An Nahdah,an nahdah,65,"18.19186073,42.85443983","18.17213133,42.83812603"
41,وسط البلد,Down Town,down town,65,"18.18315024,42.84775223","18.16560896,42.82664566"
