,neighbhood,nameAr,lat,lng,types,rating,user_ratings_total,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,isSuccessful,neighbhood_id,CompNum
0,al muruj,المروج,24.7653441,46.670992,Coffee,4,201,False,True,1,20,20,19,16,10,1,19,23
1,siyah,صياح,24.6069027,46.7065318,Coffee,4,477,True,True,0,20,6,9,3,6,0,20,9
2,al izdihar,الازدهار,24.7755136,46.7087648,Restaurants,3,471,True,True,0,20,20,15,18,9,1,100,37
3,al mahdiyah,المهدية,24.6423147,46.5453981,Restaurants,3,477,True,True,1,19,11,3,15,1,0,55,18
4,hittin,حطين,24.7600868,46.60345909999999,Restaurants,4,201,True,True,1,10,17,7,2,2,0,99,19
5,ghirnatah,غرناطة,24.8044517,46.7517054,Coffee,4,201,True,True,1,20,20,13,16,9,1,63,19
6,al wadi,الوادي,24.792859,46.7009213,Restaurants,4,781,True,True,0,20,20,18,20,7,1,52,15
7,adh dhubbat,الضباط,24.6663848,46.7242422,Coffee,4,471,True,True,0,20,20,20,20,11,1,64,28
8,as salhiyah,الصالحية,24.629458,46.7362532,Coffee,4,203,True,False,1,20,20,13,5,5,0,24,11
9,al janadriyah,الجنادرية,24.801523,46.89265590000001,Restaurants,3,470,True,True,1,20,2,10,1,1,0,78,10
10,al ghadir,الغدير,24.7704009,46.6476711,Coffee,4,204,True,True,1,20,15,15,17,5,0,111,16
11,al wahah,الواحة,24.7460119,46.7084723,Coffee,4,599,True,True,0,20,20,6,14,11,1,53,28
12,qurtubah,قرطبة,24.8040662,46.73778739999999,Coffee,4,467,True,True,0,20,20,14,20,7,1,123,24
13,king saud university,جامعة الملك سعود,24.7359741,46.6310995,Coffee,4,462,True,True,0,9,16,13,6,6,0,52,16
14,as sahafah,الصحافة,24.7838687,46.6334552,Restaurants,3,462,True,True,0,20,20,17,20,10,1,58,21
15,an narjis,النرجس,24.9033369,46.6014649,Restaurants,4,461,True,True,0,8,8,6,1,1,0,78,7
16,areed,عريض,24.4965161,46.62838,Coffee,4,460,True,True,0,20,4,1,0,1,0,58,10
17,as safarat,السفارات,24.6806665,46.6232218,Coffee,4,204,True,True,1,9,11,14,7,20,0,27,32
18,al khalidiyah,الخالدية,24.6201491,46.7506443,Coffee,4,210,True,True,1,20,9,9,9,4,0,63,10
