,place_id,isLoved,rated1,rated2,rated3,rated4,rated5
0,ChIJ--MZZAqrLz4RJfeHcYRCPNs,1,2,0,0,1,6
1,ChIJ-05fH6sDNj4Rms6kOHbtx4U,1,3,2,1,0,0
2,ChIJ-0INYZWXNz4Rp7bIxYzVVCM,1,2,0,0,3,1
3,ChIJ-0gnlBvjLj4RWTO-lNgaX7U,1,2,0,2,1,3
4,ChIJ-0hAvL91Lz4Rk-r3Y2NlcI0,1,2,0,0,0,2
5,ChIJ-1t3QXiXNz4RmoaCudgqVzg,1,1,0,0,0,1
6,ChIJ-2Y0qdeXNz4R_O3i4DxwJYc,1,0,0,1,0,6
7,ChIJ-3KXgLb_ST4ROCcOvbpupEY,1,0,0,1,1,4
8,ChIJ-3RfE-_oST4RSjQxrk2kX7M,1,0,1,2,1,5
9,ChIJ-3YRlsyhNT4R8l2PVjHsFYs,1,1,0,3,0,3
10,ChIJ-5b2MEbtNz4RnbuvMtucHDs,1,0,0,0,1,4
11,ChIJ-5p0e8iWNz4RxOZHIdfl5jY,1,2,0,0,2,3
12,ChIJ-5wD9OftNz4RkGhOJF_-RI8,0,1,0,0,0,0
13,ChIJ-5zuuLodLz4RkOku5tMTLUk,0,0,1,0,1,7
14,ChIJ-6JmjSn7ST4R3yxqri_CU-M,0,2,1,0,0,3
15,ChIJ-87OntIDLz4RiiseIjPDvTE,0,0,0,0,0,6
16,ChIJ-8zOAJIFLz4R4lC2n9ED_3I,0,0,0,0,0,2
17,ChIJ-91q63y9Nz4RNXj3mLD0y9c,0,0,0,1,1,1
18,ChIJ-945OUUFLz4RKtmXe2_Ti_M,0,1,0,1,0,4
19,ChIJ-96Qbz0BLz4RlreEYb84s28,0,0,1,1,1,4
20,ChIJ-QF0Hkn_Lj4ROiN0TEE72sE,1,1,0,1,1,3
21,ChIJ-RR7jzT9ST4RqBfJpWEjQ5w,1,1,0,0,3,4
22,ChIJ-RUTG2PjLj4Rj12ov1Zigp4,1,1,0,1,1,5
23,ChIJ-RpOoQTvST4RESV8X2AVhgU,1,0,1,2,2,3
24,ChIJ-S2w1w-qLz4RKck8dq7R_Wc,1,1,0,1,0,4
25,ChIJ-Sn50nsILz4RezcZHhbBVtk,1,0,1,2,1,2
26,ChIJ-SntR8zvST4RwyIzibraf5w,0,0,0,0,1,9
27,ChIJ-T3JGr3DST4Rzb6qdmE-7Lw,0,5,0,0,1,2
28,ChIJ-TDmk_MFLz4RYF-qSbpYM0s,0,0,0,1,2,2
29,ChIJ-TwTRQQPNT4RsddXEsjArh8,0,1,0,1,1,7
30,ChIJ-VqojyzlST4R-rwoqSgar1A,0,1,0,1,1,4
31,ChIJ-Vui56CRNz4R7OhzFJuzsAI,0,2,0,1,0,5
32,ChIJ-W6JVMTlST4R2EUHg9_PoMA,0,0,0,1,1,4
33,ChIJ-WylvSrDST4RUBMjirLwgzU,0,2,1,1,0,1
34,ChIJ-X3LlwsDLz4Rred_7cfb6ZI,1,0,0,3,2,2
35,ChIJ-XYaBW8DLz4Rp9f6IER3o7I,1,2,0,1,0,4
36,ChIJ-Xj-Cx6_Nz4R3TbMNC8BcqE,1,0,0,1,3,2
37,ChIJ-YDGobbiLj4RNcV4hawuSGs,1,0,0,0,2,1
38,ChIJ-YhIwR6XNz4RwZ0k8dweTFw,1,1,0,0,2,2
39,ChIJ-YvJf17vST4RUznnprkzFdI,1,2,1,0,2,1
40,ChIJ-ZO3pQ7oST4RI_B4JFBWe3k,1,0,0,2,1,4
41,ChIJ-_AtNPurLz4R_d4IZQx1EZk,1,2,0,1,1,3
42,ChIJ-bIQCvEfLz4RmGCZnh7tSME,1,3,0,0,2,2
43,ChIJ-cMfTUntNz4Ry-8QUhvoxJM,1,0,1,1,0,1
44,ChIJ-cRB4VIELz4Rh56hP8lxElU,1,0,0,0,2,0
45,ChIJ-eKaoSD7ST4RnKkUHry4yhQ,1,2,0,2,1,3
46,ChIJ-eOIxmMELz4RVqkvGa80cuo,1,0,1,2,0,4
47,ChIJ-erZ9OcPLz4R0gO8MACet60,1,0,1,0,0,5
48,ChIJ-fKVdlu9Nz4RM2yNMTCOmgQ,1,1,0,0,0,4
49,ChIJ-fzsGSWXNz4RC3qGtgsZsrs,0,0,0,0,0,4
50,ChIJ-w8ltdAdLz4RGe5tnPJNl1g,0,1,0,0,0,5
51,ChIJ-wyTs5bjLj4RLxLYZdVlxog,0,0,0,0,0,9
52,ChIJ-xHT0HoQLz4RRKdcSytB7i0,0,1,0,0,0,5
53,ChIJ-yPmkoyVNz4RqIvGbIv5GVU,0,1,0,1,2,1
54,ChIJ-youOLwBLz4ReVp-6wy3DzM,0,0,0,1,2,4
55,ChIJ-zda4RYDLz4R96oFZWh-MtE,0,0,0,0,3,7
56,ChIJ-zz0wgsPLz4RoL2_9JyJ_BE,0,1,0,0,0,5
57,ChIJ0-Ajyxf9ST4RdiNzx4oQenU,0,0,0,0,3,4
58,ChIJ0-REX_DsNz4RJCF75QhAcKg,0,0,0,1,1,1
59,ChIJ0-g1JMYdNj4Rrl1x97M3wGw,0,0,2,0,3,2
60,ChIJ00agz_b9Lj4RGOdYBem1H8Y,0,2,0,0,0,5
61,ChIJ00oZMRf9ST4RpNkttM7jJh8,1,5,1,0,0,1
62,ChIJ016pBU7pST4R6i1ykWhTZ4M,1,0,0,0,0,7
63,ChIJ01_Spf8ELz4RJvgznmXqEQQ,1,0,1,0,2,2
64,ChIJ02-Dx3L9Lj4RwbmDR4jARoQ,1,0,0,0,0,8
65,ChIJ02183kfoST4RMjNXY3OZjOo,1,1,1,0,2,4
66,ChIJ02netqHpST4RU9Sw5sEtGTQ,0,0,0,0,0,3
67,ChIJ036kI8L7ST4RheotIOOwpL0,0,0,1,1,0,8
68,ChIJ04-SUTChLz4RD-N_FXfy2DI,1,1,0,0,1,0
69,ChIJ04RIL7kDLz4RaK-YU53s1A0,1,0,1,1,1,4
70,ChIJ04vcdKq_Nz4RUxnqrMOpVPc,1,3,0,1,0,1
71,ChIJ050eg2gBLz4R5VXGDvEcqLE,1,0,0,1,0,4
72,ChIJ05i7JqEFLz4RcQDRcx0VCNM,1,0,0,0,1,7
73,ChIJ06gQCjDDST4Rjfnu3kXokFs,1,0,0,0,0,5
74,ChIJ06l7KfsRNT4R3b3FwKGUpME,1,0,1,1,0,4
75,ChIJ07J-49L9Lj4RVqc47BfgCU4,1,0,0,2,1,7
76,ChIJ07WiMd0ONT4RHfuZbJLifJQ,1,3,0,1,0,2
77,ChIJ07ZqcR6XNz4RcukCpQh684o,1,3,0,1,1,2
78,ChIJ08enKirmST4REXShNBhMOUc,1,1,1,0,2,3
79,ChIJ08fsT9wdLz4RMWtdcOrhO4Q,0,0,0,0,1,8
80,ChIJ08kHCUwPLz4RQj0j3-MYfNY,0,4,0,1,0,2
81,ChIJ08q6wkbDST4RW542vUOnYWc,0,1,1,1,1,5
82,ChIJ099AA0kDLz4RbfAfczdax30,0,2,0,1,0,3
83,ChIJ09eCHW4DLz4RsE7SDTPoako,0,0,0,0,2,7
84,ChIJ09m0boYHLz4Rrr-umobazuM,0,3,1,0,1,3
85,ChIJ0QHcr2IFLz4RgyrPYfWYD9E,1,1,0,1,0,4
86,ChIJ0R-auPYPLz4RUr8OAsmNkx8,1,1,0,0,0,1
87,ChIJ0RRyKr8PNT4RcnbrwVIo4g4,1,1,1,0,2,4
88,ChIJ0RjnIdgCLz4RFYmmOwYkh9k,1,5,0,1,0,2
89,ChIJ0Rl5nqD9Lj4RdNPOmgESYXM,1,1,0,2,0,6
90,ChIJ0T-BliDvST4RwXCiHPtRyZc,1,3,2,0,2,2
91,ChIJ0TAWD3ahLz4RyLdrt965VIU,0,0,1,0,0,6
92,ChIJ0UkU1sq9Nz4RGNm9WgHQhSk,1,0,3,3,0,2
93,ChIJ0UlaGDT9Lj4R5XvYoh0RhjQ,1,0,0,0,1,7
94,ChIJ0UmauYUDLz4R2dUVX5q6uAA,1,0,0,0,0,8
95,ChIJ0VtkGtO9Nz4RuInGMFz4gbg,1,4,2,2,0,0
96,ChIJ0Y4XzL_lLj4Roi5Gxq-G8C8,1,1,0,3,1,2
97,ChIJ0YR1nuPlST4Rf54g7fNSduE,0,3,1,0,3,1
98,ChIJ0_GGzu39ST4RLCmenAtdqW0,0,0,0,1,0,6
99,ChIJ0_ki1oqxNz4RLUC7O051O_Y,0,0,0,0,0,2
100,ChIJ0ackzISUNz4R4fcJjReKzVY,0,2,0,0,1,4
101,ChIJ0c6A49gALz4RHQSKc_Zo_Yk,1,2,0,2,0,2
102,ChIJ0ce3G9oJLz4Rj4V3TueRxjc,1,3,0,0,0,3
103,ChIJ0cmQq9XjST4RMct3kV94h5g,1,2,0,0,1,2
104,ChIJ0co34ysOLz4RX4BivDuShTc,1,0,0,1,2,3
105,ChIJ0cwPbjHmST4R99zgKWzlmNs,1,5,0,0,0,1
106,ChIJ0d8pXM4PLz4RIIxg28Ac98k,1,2,1,2,0,3
107,ChIJ0dCMy5wBLz4RXTNNlQ_8PV8,1,0,0,0,3,6
108,ChIJ0fAgQw3pST4RE2om-xpBsNo,1,1,0,1,3,2
109,ChIJ0fGyVm0FLz4RaXg_7RSXfuE,1,0,0,0,0,7
110,ChIJ0fZqdtcjLz4RIC7dqex8JAw,1,4,1,0,1,4
111,ChIJ0wRLKTn7ST4R4o2cUWy0VcQ,1,1,1,0,2,2
112,ChIJ0wmv_s-WNz4R8M3V5foRyq0,1,0,1,1,1,3
113,ChIJ0yK2sIQPLz4RZHd27HjDpEs,1,0,1,1,0,3
114,ChIJ0yLJyfP9ST4RNOksnykUNZE,1,0,1,1,1,6
115,ChIJ0yVPp5_CST4RPR1TaknfH9g,1,1,0,1,1,5
116,ChIJ0yW0nW6RNz4REvzsXStSxBA,1,0,0,1,0,6
117,ChIJ0ybKecAbLz4RQglLv9SEuBc,1,0,0,1,1,8
118,ChIJ0yhHij0HLz4RNPNKRtGt2TE,1,0,0,2,1,5
119,ChIJ0z-9QxT9ST4RvbPMbz3Yfcc,1,0,0,0,1,5
120,ChIJ0zRc3GcPLz4RN38QZiH6QsM,1,1,0,0,0,4
121,ChIJ0zZWnQf9ST4RjlTLAaH4H9c,0,0,0,0,1,1
122,ChIJ0zrTeZIHLz4RYpkW5BdNuiE,0,0,0,2,3,3
123,ChIJ1-hZid8BLz4RWjxyaGsOhNg,0,0,0,0,1,8
124,ChIJ11u8ijnmST4RWacmW85G11M,0,1,0,0,1,5
125,ChIJ12IObSXoST4RVKC_bjVHsFA,0,0,0,2,2,3
126,ChIJ130GRjrjLj4RKa0Ab3dkxwQ,0,1,1,0,1,5
127,ChIJ14HWohQCNj4RkRS0XTuYaHU,0,3,0,1,0,2
128,ChIJ165XJ-ofNj4R-sI3B7EafwE,0,0,1,1,1,5
129,ChIJ166TfUTvST4RjoHE9tfe8Ko,0,0,0,2,1,4
130,ChIJ16Mmrx8ALz4Rc5EUArH7fv0,0,3,0,2,0,3
131,ChIJ16sfLVcRNT4RiY66CYuzkwE,0,1,0,0,2,2
132,ChIJ16tcKrcFLz4R2sALpHVXbuU,0,1,1,1,1,1
133,ChIJ17VlgsD_Lj4R-osW3cJ5j2c,0,0,0,1,1,7
134,ChIJ17hpilr8Lj4RhkZ1DfSIfjE,1,0,1,0,0,4
135,ChIJ18ZKW8YCLz4RsdAiNMo9L98,1,0,0,0,2,5
136,ChIJ18_VesjDST4RK1DErDb9PhI,1,0,0,0,0,6
137,ChIJ19zdm3n7ST4RQwxajOCDZu0,1,0,0,0,1,7
